id,chain_len,distances
6629,4,"[830, 332, 0]"
54308,4,"[830, 332, 0]"
20297,4,"[830, 332, 0]"
54054,4,"[830, 332, 0]"
54542,4,"[830, 332, 0]"
15696,5,"[830, 332, 448, 0]"
54552,5,"[830, 332, 448, 0]"
54345,5,"[830, 332, 448, 0]"
6648,5,"[830, 332, 448, 0]"
47493,5,"[830, 332, 448, 0]"
21208,5,"[830, 332, 448, 0]"
17435,5,"[830, 332, 448, 0]"
54543,5,"[830, 332, 448, 0]"
47535,5,"[830, 332, 448, 0]"
54363,5,"[830, 332, 448, 0]"
9625,5,"[830, 332, 448, 0]"
54362,6,"[830, 332, 448, 339, 0]"
47534,6,"[830, 332, 448, 339, 0]"
54333,6,"[830, 332, 448, 339, 0]"
5511,6,"[830, 332, 448, 339, 0]"
54412,6,"[830, 332, 448, 339, 0]"
7967,4,"[458, 0, 0]"
11182,3,"[585, 0]"
4575,4,"[458, 231, 128]"
12505,4,"[322, 0, 0]"
4584,3,"[120, 13]"
4603,5,"[180, 0, 11, 1]"
4608,7,"[180, 0, 1, 11, 1, 1]"
23058,6,"[180, 0, 4, 2, 11]"
4621,4,"[234, 31, 6]"
4623,3,"[254, 12]"
4630,12,"[180, 0, 1, 1, 11, 0, 1, 5, 2, 35, 6]"
4638,13,"[209, 1, 30, 12, 2, 1, 4, 0, 1, 1, 1, 111]"
29698,10,"[180, 123, 0, 235, 1, 3, 1, 252, 0]"
54287,10,"[180, 123, 0, 235, 1, 3, 1, 252, 0]"
54380,10,"[180, 123, 0, 235, 1, 3, 1, 252, 0]"
46618,10,"[180, 123, 0, 235, 1, 3, 1, 252, 0]"
4650,12,"[180, 123, 0, 235, 1, 3, 1, 252, 23, 6, 25]"
4651,4,"[127, 27, 1]"
4667,8,"[180, 123, 104, 0, 5, 1, 1]"
4670,7,"[180, 123, 104, 3, 1, 1]"
4682,11,"[180, 123, 104, 152, 11, 12, 0, 13, 39, 44]"
4683,11,"[180, 123, 104, 152, 11, 12, 0, 13, 39, 46]"
4684,14,"[180, 123, 104, 152, 11, 12, 13, 2, 3, 0, 39, 51, 90]"
4685,6,"[161, 1, 14, 20, 5]"
4712,12,"[111, 101, 5, 1, 5, 1, 1, 6, 2, 6, 6]"
4704,5,"[111, 105, 5, 6]"
4710,9,"[213, 31, 6, 12, 12, 6, 2, 1]"
4718,10,"[180, 123, 0, 112, 17, 21, 2, 104, 100]"
4719,6,"[159, 2, 36, 0, 60]"
4723,4,"[301, 44, 0]"
4730,7,"[255, 206, 12, 69, 67, 1]"
4731,3,"[782, 45]"
4736,5,"[220, 49, 5, 141]"
23415,3,"[239, 0]"
6314,3,"[239, 0]"
23590,3,"[239, 0]"
5980,3,"[239, 0]"
5043,5,"[239, 0, 1, 1]"
5441,3,"[239, 0]"
5236,3,"[239, 0]"
5931,4,"[239, 0, 0]"
5339,3,"[239, 0]"
6079,3,"[239, 0]"
5181,3,"[239, 0]"
4804,3,"[239, 0]"
5618,4,"[239, 0, 0]"
10795,3,"[239, 0]"
24149,3,"[239, 0]"
23267,3,"[239, 0]"
17410,3,"[239, 0]"
23648,3,"[239, 0]"
4790,47,"[630, 2, 2, 336, 360, 0, 103, 206, 254, 199, 5, 498, 1, 115, 154, 122, 256, 461, 36, 51, 1, 2, 16, 51, 53, 71, 1, 102, 110, 1, 2, 1, 3, 11, 29, 1, 1, 9, 1, 9, 1, 9, 8, 2, 1, 176]"
4796,52,"[630, 2, 2, 336, 360, 0, 103, 206, 254, 199, 5, 498, 1, 115, 154, 122, 256, 461, 36, 51, 1, 2, 16, 51, 53, 71, 1, 102, 110, 1, 2, 1, 3, 11, 29, 1, 1, 9, 1, 9, 1, 9, 8, 2, 1, 227, 50, 1, 1, 23, 1]"
4800,49,"[630, 2, 2, 336, 360, 0, 103, 206, 254, 199, 5, 498, 1, 115, 154, 122, 256, 461, 36, 51, 1, 2, 16, 51, 53, 71, 1, 102, 110, 1, 2, 1, 3, 11, 29, 1, 1, 9, 1, 9, 1, 9, 8, 2, 1, 176, 164, 0]"
24138,3,"[484, 0]"
5029,3,"[484, 0]"
23350,9,"[484, 0, 0, 0, 0, 0, 0, 0]"
21375,3,"[484, 0]"
21444,5,"[484, 0, 0, 0]"
6549,4,"[484, 0, 0]"
5052,3,"[484, 0]"
5325,5,"[484, 0, 0, 0]"
5341,4,"[303, 0, 0]"
29202,3,"[303, 0]"
23649,3,"[303, 0]"
23239,3,"[303, 0]"
23589,3,"[303, 0]"
4815,3,"[484, 546]"
4819,6,"[275, 196, 12, 25, 7]"
4842,6,"[272, 0, 25, 4, 0]"
5059,3,"[273, 0]"
5026,4,"[484, 0, 24]"
5039,5,"[239, 2, 2, 2]"
5042,8,"[269, 24, 31, 7, 3, 8, 1]"
6288,3,"[272, 0]"
5054,4,"[180, 0, 3]"
5058,4,"[272, 123, 20]"
5060,4,"[180, 123, 1]"
5067,4,"[484, 533, 5]"
6065,10,"[273, 208, 29, 29, 57, 36, 14, 22, 0]"
5085,10,"[269, 79, 4, 38, 79, 0, 0, 24, 0]"
5105,20,"[275, 47, 1, 46, 44, 25, 51, 1, 0, 2, 2, 0, 6, 0, 0, 6, 0, 2, 2]"
5233,18,"[275, 47, 1, 46, 44, 25, 51, 1, 0, 2, 2, 0, 6, 0, 0, 6, 0]"
5093,6,"[276, 185, 24, 0, 50]"
5235,6,"[276, 207, 27, 31, 0]"
5110,3,"[303, 1665]"
5115,9,"[484, 0, 830, 0, 0, 1146, 0, 703]"
5396,34,"[484, 0, 0, 23, 482, 481, 160, 1252, 1412, 77, 30, 3, 2, 73, 2, 60, 75, 69, 66, 1, 2, 3, 1, 14, 3, 18, 1, 2, 1, 1, 1, 0, 0]"
5226,5,"[239, 2089, 2, 2]"
5180,14,"[239, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2089]"
5310,31,"[273, 320, 112, 6, 0, 30, 92, 8, 1, 0, 1, 1, 0, 1, 0, 2, 0, 4, 2, 2, 0, 4, 21, 97, 179, 175, 2, 2, 0, 0]"
5210,32,"[273, 320, 112, 6, 0, 30, 92, 8, 1, 0, 1, 1, 0, 1, 0, 2, 0, 4, 2, 2, 0, 4, 21, 97, 179, 175, 2, 2, 8, 8, 0]"
5230,4,"[0, 0, 1]"
5232,22,"[484, 120, 2, 107, 102, 86, 101, 1, 2, 1, 95, 101, 2, 2, 0, 58, 4, 3, 63, 0, 1037]"
5258,13,"[208, 5, 1, 129, 162, 2, 4, 4, 1, 141, 23, 6]"
6423,31,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0]"
6057,34,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0, 0, 0, 0]"
5891,31,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0]"
10796,31,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0]"
5843,32,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0, 0]"
5786,31,"[484, 117, 1, 2, 1, 4, 4, 11, 2, 0, 26, 149, 262, 1, 4, 2, 12, 0, 6, 6, 6, 7, 20, 25, 2, 5, 5, 1, 1, 0]"
5329,6,"[275, 213, 11, 362, 52]"
5338,11,"[275, 213, 187, 184, 3, 1, 1, 3, 9, 0]"
5364,20,"[276, 74, 4, 2, 4, 2, 9, 39, 36, 26, 0, 0, 1, 1, 2, 2, 2, 0, 0]"
5365,7,"[2623, 0, 276, 187, 244, 7]"
5376,13,"[484, 1023, 0, 410, 0, 0, 0, 25, 1, 0, 0, 11]"
5392,24,"[276, 74, 4, 2, 4, 2, 9, 39, 36, 26, 0, 0, 1, 1, 2, 2, 2, 0, 0, 6, 13, 6, 6]"
5381,23,"[276, 74, 4, 2, 4, 2, 9, 39, 36, 26, 0, 0, 1, 1, 2, 2, 2, 0, 0, 6, 13, 0]"
5384,20,"[276, 74, 4, 2, 4, 2, 9, 39, 36, 26, 0, 0, 1, 1, 2, 2, 2, 0, 6]"
5393,23,"[276, 74, 4, 2, 4, 2, 9, 39, 36, 26, 0, 0, 1, 1, 2, 2, 2, 0, 0, 6, 13, 6]"
5395,13,"[484, 587, 466, 6, 0, 0, 38, 0, 11, 11, 40, 0]"
5434,9,"[484, 543, 31, 3, 8, 30, 406, 0]"
5789,56,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 0, 8]"
5493,98,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 13, 3, 1, 741, 1, 4, 4, 32, 28, 642, 592, 2, 1478, 2, 2, 1416, 4, 482, 9, 10, 1, 2, 2, 572, 2, 2, 2, 1, 479, 131, 24, 1142, 443, 0, 0, 0, 1, 1, 107, 208, 200, 146, 51, 0]"
5490,4,"[239, 0, 1]"
5492,99,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 13, 3, 1, 741, 1, 4, 4, 32, 28, 642, 592, 2, 1478, 2, 2, 1416, 4, 482, 9, 10, 1, 2, 2, 572, 2, 2, 2, 1, 479, 131, 24, 1142, 443, 0, 0, 0, 1, 1, 107, 208, 200, 146, 51, 0, 13]"
17896,8,"[547, 142, 25, 1, 379, 7, 0]"
53952,8,"[547, 142, 25, 1, 379, 7, 0]"
47845,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47837,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47813,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47796,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47765,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47856,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47801,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47799,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47763,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47842,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47814,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47788,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47701,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
47519,14,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0, 0, 0, 0]"
47504,11,"[547, 142, 25, 1, 379, 7, 0, 0, 0, 0]"
17517,8,"[547, 142, 25, 1, 379, 7, 0]"
47839,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47865,14,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0, 0]"
47505,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47767,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
47764,13,"[547, 142, 25, 1, 379, 7, 137, 2, 0, 0, 0, 0]"
