file1,file2
data/spec/10148.smt2,data/spec/10858.smt2
data/spec/10148.smt2,data/spec/10860.smt2
data/spec/10148.smt2,data/spec/10878.smt2
data/spec/10148.smt2,data/spec/10880.smt2
data/spec/10148.smt2,data/spec/11090.smt2
data/spec/10148.smt2,data/spec/11840.smt2
data/spec/10148.smt2,data/spec/29016.smt2
data/spec/10148.smt2,data/spec/29086.smt2
data/spec/10148.smt2,data/spec/29822.smt2
data/spec/10148.smt2,data/spec/29823.smt2
data/spec/10148.smt2,data/spec/29833.smt2
data/spec/10148.smt2,data/spec/9086.smt2
data/spec/10148.smt2,data/spec/9162.smt2
data/spec/10148.smt2,data/spec/9197.smt2
data/spec/10149.smt2,data/spec/10164.smt2
data/spec/10149.smt2,data/spec/10165.smt2
data/spec/10150.smt2,data/spec/10152.smt2
data/spec/10150.smt2,data/spec/10155.smt2
data/spec/10150.smt2,data/spec/10157.smt2
data/spec/10150.smt2,data/spec/10170.smt2
data/spec/10150.smt2,data/spec/10178.smt2
data/spec/10150.smt2,data/spec/10846.smt2
data/spec/10150.smt2,data/spec/10849.smt2
data/spec/10150.smt2,data/spec/29824.smt2
data/spec/10150.smt2,data/spec/29831.smt2
data/spec/10150.smt2,data/spec/29834.smt2
data/spec/10150.smt2,data/spec/9165.smt2
data/spec/10150.smt2,data/spec/9198.smt2
data/spec/10150.smt2,data/spec/9201.smt2
data/spec/10151.smt2,data/spec/10847.smt2
data/spec/10152.smt2,data/spec/10155.smt2
data/spec/10152.smt2,data/spec/10157.smt2
data/spec/10152.smt2,data/spec/10170.smt2
data/spec/10152.smt2,data/spec/10178.smt2
data/spec/10152.smt2,data/spec/10846.smt2
data/spec/10152.smt2,data/spec/10849.smt2
data/spec/10152.smt2,data/spec/29824.smt2
data/spec/10152.smt2,data/spec/29831.smt2
data/spec/10152.smt2,data/spec/29834.smt2
data/spec/10152.smt2,data/spec/9165.smt2
data/spec/10152.smt2,data/spec/9198.smt2
data/spec/10152.smt2,data/spec/9201.smt2
data/spec/10154.smt2,data/spec/10156.smt2
data/spec/10155.smt2,data/spec/10157.smt2
data/spec/10155.smt2,data/spec/10170.smt2
data/spec/10155.smt2,data/spec/10178.smt2
data/spec/10155.smt2,data/spec/10846.smt2
data/spec/10155.smt2,data/spec/10849.smt2
data/spec/10155.smt2,data/spec/29824.smt2
data/spec/10155.smt2,data/spec/29831.smt2
data/spec/10155.smt2,data/spec/29834.smt2
data/spec/10155.smt2,data/spec/9165.smt2
data/spec/10155.smt2,data/spec/9198.smt2
data/spec/10155.smt2,data/spec/9201.smt2
data/spec/10157.smt2,data/spec/10170.smt2
data/spec/10157.smt2,data/spec/10178.smt2
data/spec/10157.smt2,data/spec/10846.smt2
data/spec/10157.smt2,data/spec/10849.smt2
data/spec/10157.smt2,data/spec/29824.smt2
data/spec/10157.smt2,data/spec/29831.smt2
data/spec/10157.smt2,data/spec/29834.smt2
data/spec/10157.smt2,data/spec/9165.smt2
data/spec/10157.smt2,data/spec/9198.smt2
data/spec/10157.smt2,data/spec/9201.smt2
data/spec/10158.smt2,data/spec/10848.smt2
data/spec/10158.smt2,data/spec/11338.smt2
data/spec/10158.smt2,data/spec/11619.smt2
data/spec/10159.smt2,data/spec/10172.smt2
data/spec/10159.smt2,data/spec/10850.smt2
data/spec/10159.smt2,data/spec/10859.smt2
data/spec/10160.smt2,data/spec/10167.smt2
data/spec/10162.smt2,data/spec/10163.smt2
data/spec/10164.smt2,data/spec/10165.smt2
data/spec/10168.smt2,data/spec/10173.smt2
data/spec/10168.smt2,data/spec/10175.smt2
data/spec/10168.smt2,data/spec/10177.smt2
data/spec/10168.smt2,data/spec/10844.smt2
data/spec/10168.smt2,data/spec/10845.smt2
